iso,country_name,Transport,Clean cooking,Cold storage,Television,Mobile telephone,Water access,Sanitation,Nutrition,Education,Housing,Cooling,Heating
FSM,"Micronesia, Federated States of",0.8506213119131738,0.6752,0.7096,0.4489999999999999,0.2172000000000001,0.48377848016802816,0.641082717811143,2.6447576253749663e-5,0.02889847605467288,0.34589041872687154,0.5401475069518068,0.08638372093023255
GAB,Gabon,0.9633826852570108,0.20599999999999996,0.626,0.16599999999999993,0.08099999999999996,0.5407005180823605,0.7013091720995018,0.1112918282141398,0.29258463113342087,0.40897476773983354,0.4786377453265647,0
GBR,United Kingdom,0.5637514787774341,0,0,0,0,1.1223715336194928e-4,0.02282521548529004,0.00235290551344551,0.012280424118750053,0,0,0.0458860595920634
GEO,Georgia,0.9042061727968338,0,0,0,0,0.20395848928196905,0.735578018772906,0.05128135549563764,0,0.321136687176821,0.204421714416935,0.03852094697393886
GHA,Ghana,0.9633826852570108,0.747,0.653,0.366,0.09599999999999996,0.6688010757056531,0.717357105638291,0.05166414246591119,0,0.5132620290851544,0.96,0
GIN,Guinea,0.9633826852570108,0.976,0.835,0.687,0.10799999999999998,0.679932270266962,0.8486235527099443,0.08896387784412797,0.3615076791333422,0.5887493738325054,0.961603734264231,0
GLP,Guadeloupe,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.33670946263034984,0.5341961101465127,0.06955347918419184,0.04002817500363676,0.24091304961489576,0.4372792730366615,0.00152521478136461
GMB,Gambia,0.9633826852570108,0.977,0.773,0.515,0.09400000000000008,0.5721569110281943,0.7345916595374979,0.10342117212551535,0.3068578339,0.42714203864403866,0.9149828054872308,0
GNB,Guinea-Bissau,0.9633826852570108,0.8461212121212122,0.833,0.6558235294117647,0.2560588235294118,0.6490482814510875,0.8159466983875324,0.25339523878023423,0.29258463113342087,0.7312040083529614,0.936980034311176,0
GNQ,Equatorial Guinea,0.9633826852570108,0.8461212121212122,0.833,0.6558235294117647,0.2560588235294118,0.6792911672490911,0.8479452326248827,0.00496779419797127,0.495745697,0.6759172485598364,0.44050675861563,0
GRC,Greece,0.5637514787774341,0,0,0,0,0,0.114072254159735,0.00484891403033541,0.03706101989000103,0,0.33475092540111295,0.04209070292665237
GRD,Grenada,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.12884731648340908,0.4718459995633293,0.23372993874370543,0.12586669920000004,0.2672563973834482,0,0
GTM,Guatemala,0.6905073617646471,0.609,0.556,0.27,0.125,0.44927611027535,0.6082038675950953,0.14238979899659052,0.15290336609999997,0.31741341581656124,0.279388828676412,0.03805428190272716
GUF,French Guiana,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.33670946263034984,0.5341961101465127,0.06955347918419184,0.04002817500363676,0.2508351290047304,0.160898331778128,0
GUM,Guam,0.33055141449576125,0,0,0,0,0.00458826515750698,0.317322110077053,5.708472918306648e-5,0,0,0,0
GUY,Guyana,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.47902904372422295,0.6360575688994193,0.04708920545304637,0.04002817500363676,0.3008205972232817,0.9020189052909532,0
HKG,Hong Kong,0.989443252806331,0.842,0.92,0.34299999999999997,0.128,0,0.08178355282999905,0.00663504162634316,0.015531082149999981,0.3632,0.3632,0.1403963506105835
HND,Honduras,0.6905073617646471,0.5589999999999999,0.42399999999999993,0.278,0.14300000000000002,0.37046734625148214,0.5211936892865922,0.1272837461742036,0.07530670169999994,0.3808748149240063,0.4735259313425201,0
HRV,Croatia,0.5965458237565414,0,0,0,0,0.09547395486509802,0.416010795915279,0.01676060793001214,0,0,0.011723248453122,0.2330483224860126
HTI,Haiti,0.6905073617646471,0.952,0.865,0.6930000000000001,0.241,0.6249212369019367,0.7904190398760869,0.4492608176374607,0.04002817500363676,0.5754875705102165,0.930612835787299,0
HUN,Hungary,0.5965458237565414,0,0,0,0,0.16030365609116104,0.0423507615014429,0.01057681311032573,0.03142143250000004,0,0,0.24103753832971003
IDN,Indonesia,0.8506213119131738,0.277,0.4310000000000001,0.113,0.11,0.4453637439230955,0.6004379439902068,0.07226151745888969,0,0.3760419855710645,0.790861008579802,0
IND,India,0.9699524754744532,0.562,0.704,0.348,0.09599999999999996,0.5327042827345732,0.6928487423556255,0.11941766950929412,0.03217060854923034,0.3467814628634707,0.931965071756708,0.19176744186046513
IRL,Ireland,0.5637514787774341,0,0,0,0,0.02700160858342892,0.17816816270673896,8.321020425862034e-4,0.012280424118750053,0,0,0.04201973690269198
IRN,"Iran, Islamic Republic of",0.892581874791549,0.2055,0.21733333333333327,0.123,0.10699999999999998,0.08331332917582102,0.4769447829158579,0.04119547839394792,0,0.18867821569941015,0.455492100556528,0.00496424879517945
IRQ,Iraq,0.892581874791549,0.2055,0.21733333333333327,0.123,0.10699999999999998,0.422005430563047,0.603033879880603,0.20364504776367892,0.08262814378645303,0.4107937392977861,0.6466765074163,0.00559821457238662
ISL,Iceland,0.5637514787774341,0,0,0,0,0.01056480546699001,0.228967026639603,0.00172344471564191,0.01597277826000038,0,0,0.04849133272942239
ISR,Israel,0.892581874791549,0.2055,0.21733333333333327,0.123,0.10699999999999998,0.00511674355714897,0.0801023107252079,4.949173410599244e-4,0,0.30638590058861737,0.30638590058861737,0.00209904568478949
ITA,Italy,0.5637514787774341,0,0,0,0,0.05526863641556201,0.03801588997396199,0.00180694260324631,0,0,0.295749887922651,0.04370378454108475
JAM,Jamaica,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.327051619748029,0.475257609633377,0.07578456846459253,0.04002817500363676,0.14224333368562836,0.9000000000000001,0
